movie_title,genre,release_date,director,actor_1,actor_2,rating,budget,box_office,duration_minutes
K-20: The Fiend with Twenty Faces,Drama,1/13/2009,Rafaelia Ames,Donovan Peter,Marline Steers,4.1,Rupiah,Rupiah,113
"Clock, The",Romance,5/19/2001,Dniren Elstub,Bari Masterson,Marian Asprey,0.5,Ruble,Yuan Renminbi,114
Saving Santa,Romance,5/27/2018,Coreen Causley,Owen Biddiss,Rosemarie Aizkovitch,0.8,Euro,Yuan Renminbi,179
Right Now (À tout de suite),Romance,11/1/2011,Birk Gingel,Reinhold Dudderidge,Lark Dunster,1.1,Rupiah,Yen,171
Annapolis,Comedy,11/8/2012,Jonie O'Brollachain,Verney Teodori,Robbie Cruikshank,8.5,Litas,Dollar,78
InAPPropriate Comedy,Comedy,11/11/2005,Melva Hendrik,Emogene Southouse,Rhys Bennike,0.5,Yuan Renminbi,Yuan Renminbi,115
"Perfect Human, The (Perfekte Menneske, Det)",Comedy,3/1/2022,Florri Evenden,Carlee Iacofo,Man Stouther,9.3,Euro,Krona,200
Loaf and Camouflage,Action,5/16/2022,Ives Vreede,Moselle Lachaize,Aila Ratcliff,5.1,Won,Krone,222
A Promise,Horror,12/10/2013,Charmion Westall,Delinda Cruickshanks,Halli Tollemache,1.7,Lev,Yuan Renminbi,146
King Arthur,Horror,5/24/2018,Hillery Wille,Melony Janoch,Amandi Brute,3.2,Yen,Naira,84
Futurama: Into the Wild Green Yonder,Romance,10/9/2018,Daloris Fache,Carita Trembey,Pennie Barber,4.1,Rupiah,Yuan Renminbi,178
Heartbeats (Les amours imaginaires),Comedy,10/4/2012,Gibby Hurring,Daphna Myrie,Jobie Moizer,2.8,Dollar,Somoni,223
"Don Is Dead, The",Romance,7/9/2010,Julio Luard,Gerick Barnfield,Geri Smallpiece,4.6,Rupiah,Peso,186
Zach Galifianakis: Live at the Purple Onion,Drama,5/3/2020,Ezmeralda Lightoller,Chrissy Shelliday,Lou Tolefree,6.2,Dong,Ruble,163
"Art of Getting By, The",Drama,5/10/2013,Gibbie Auton,Gerladina Proffitt,Willy Behn,8.5,Koruna,Peso,114
Grand Isle,Action,8/15/2004,Koressa Patty,Rachel Sweed,Danni Schirak,8.1,Peso,Zloty,230
My Fellow Americans,Action,11/4/2013,Sashenka Shawyer,Larine Insko,Catlin Bullent,3.7,Peso,Dollar,126
"Million Dollar Duck, The (a.k.a. $1,000,000 Duck)",Drama,5/4/2015,Courtnay Stanier,Jeddy Verdey,Ilyse Streatfeild,9.7,Real,Baht,161
"Royal Affair, A (Kongelig affære, En)",Romance,10/1/2018,Zak Varnham,Gayleen Crossdale,Elisabetta Judkins,2.6,Shekel,Real,194
The Kick,Horror,12/22/2016,Tildie Blyde,Daffy Furtado,Maire Sargeant,7.2,Rupiah,Real,96
Tag: The Assassination Game (a.k.a. Everybody Gets It in the End),Action,10/5/2007,Kaela Jopling,Ilka Felgat,Maisey Currao,2.4,Yuan Renminbi,Euro,148
"League of Their Own, A",Romance,6/10/2009,Dniren Bodycomb,Lowell MacConnell,Desi MacMorland,7.3,Peso,Euro,217
The Kingdom of Dreams and Madness,Drama,2/1/2021,Pamelina Crooks,Christin Deshon,Mahala Chiplen,4.5,Krona,Euro,127
Towelhead (a.k.a. Nothing is Private),Drama,12/26/2022,Lamond Stannard,Joletta Scallon,Elnore Filipczynski,6.2,Zloty,Euro,207
Tout ce qui brille,Action,6/15/2008,Catherin Brushneen,Emma MacCaghan,Anabal Buxcy,4.4,Yen,Yen,182
"Samaritan, The",Drama,5/9/2008,Harmonie Kinset,Annie Petrol,Jamie Roll,9.0,Ruble,Euro,191
Enid,Romance,11/19/2017,Menard Fawke,Hervey Bolte,Mariya Gurwood,4.9,Dollar,Gourde,221
I Never Promised You a Rose Garden,Action,8/14/2022,Jermain Measor,Sabra Welberry,Corrine Robken,5.0,Yuan Renminbi,Yuan Renminbi,177
Sunrise at Campobello,Horror,8/31/2004,Bengt Antrack,Carena Farlam,Jeffie Greason,9.2,Dollar,Yuan Renminbi,159
Rear Window,Action,9/20/2012,Dee Deane,Con Peachment,Cindee Ommanney,0.2,Dollar,Sol,225
Black Lightning (Chernaya Molniya),Drama,5/2/2019,Rhona Fernant,Gael Chazelle,Shayne Springer,8.4,Euro,Denar,81
"Golden Bowl, The",Comedy,6/25/2017,Floria Kobierski,Jeniece Henderson,Eolanda Lowndsbrough,1.1,Euro,Dollar,186
Taken 2,Drama,12/22/2022,Tish Remington,Luce Shipsey,Kimmi Cressingham,5.5,Yuan Renminbi,Koruna,225
"As Above, So Below",Action,3/7/2009,Tildy Scole,Hermia Meddings,Luisa Loble,0.2,Tugrik,Zloty,225
D3: The Mighty Ducks,Horror,3/3/2004,Belicia Faier,Rhett Treven,Bobby Elderidge,0.9,Yuan Renminbi,Rupiah,208
"Ice Harvest, The",Drama,1/20/2017,Wilhelm Bestwerthick,Rockey Hadleigh,Lucius Behagg,4.1,Zloty,Peso,90
Place Vendôme,Romance,11/26/2022,Reinald Goreisr,Alix Riddoch,Ernst Crowcum,6.9,Kyat,Won,181
American Ninja,Drama,5/13/2006,Rutger Janicijevic,Cathyleen Hartshorn,Avis Best,7.6,Rand,Euro,218
Death Wish 4: The Crackdown,Horror,12/24/2008,Laurel Bevington,Carver Mesant,Julina Ommundsen,1.8,Yuan Renminbi,Peso,235
Thirteen,Horror,4/11/2019,Halsey Atley,D'arcy Gleave,Evie Foxon,6.1,Tenge,Naira,164
"Da Vinci Code, The",Comedy,3/10/2016,Tomaso Hebblethwaite,Calla Popelay,Aubrette Flaune,0.7,Rupiah,Peso,88
Montana Sky,Romance,7/26/2003,Gerick Quillinane,Salmon Attenbrow,Ava Blockwell,3.6,Yuan Renminbi,Euro,201
3 Blind Mice,Horror,9/4/2014,Ray Pestor,Gardener Trippitt,Charlton Corringham,9.8,Euro,Yuan Renminbi,209
Just Sex and Nothing Else (Csak szex és más semmi),Comedy,6/20/2018,Genevieve Okill,Kristoforo Doy,Barth Bridell,1.5,Won,Naira,215
"Four Feathers, The",Comedy,1/4/2007,Adorne Samwell,Loutitia Safe,Stacie Gilbanks,3.7,Yuan Renminbi,Yuan Renminbi,236
Master of the House (Du skal ære din hustru) (Thou Shalt Honour Thy Wife),Comedy,11/18/2008,Arden Haggleton,Ignacio Ansty,Haven Bedward,5.4,Yen,Rupiah,203
"Prophet, the Gold and the Transylvanians, The (Profetul, aurul si Ardelenii)",Drama,6/16/2010,Rhetta Dimmack,Trixie Giraudoux,Eddie Medcalf,3.8,Dollar,Yen,158
Running Time,Horror,12/17/2021,Alfy Luter,Nikolas Wallas,Linette Markovic,5.9,Rupiah,Peso,143
"John Garfield Story, The",Romance,7/31/2022,Tamas Pellitt,Blancha Gerring,Maisie Reynish,9.7,Euro,Rupiah,209
Thoroughly Modern Millie,Horror,7/13/2010,Danni Danielou,Harry Fallows,Dolli Tideswell,7.5,Rupiah,Gourde,83
Beverly Hills Chihuahua,Action,3/1/2021,Shanna Figgins,Bertrando Van De Cappelle,Ade Hymer,1.9,Euro,Dong,214
Mr. Freedom,Action,9/2/2011,Moishe Phaup,Corri Cowdry,Dionysus Longhurst,5.0,Yen,Euro,202
Baboona,Horror,10/5/2010,Corrina Ritchley,Gena McCaskell,Kerby O'Teague,7.0,Euro,Zloty,203
Messages Deleted,Action,10/21/2017,Kippar Wrassell,Galven Messer,Karee Geldert,7.2,Peso,Ruble,83
300,Romance,11/19/2013,Viole Babb,Lonna Byrd,Dame Laban,5.5,Hryvnia,Ruble,189
"Ghost Breakers, The",Romance,12/22/2010,Mathilde MacDaid,Gay Tredwell,Brennen Povall,8.4,Yuan Renminbi,Yuan Renminbi,180
Yatterman (Yattâman),Comedy,5/20/2009,Phebe Keogh,Lanni Broscombe,Zaria Jiroutka,1.6,Rupiah,Krona,203
Common Places (a.k.a. Common Ground) (Lugares comunes),Horror,5/2/2021,Wendi Angeli,Thor Grace,Gawen Stidston,3.6,Yuan Renminbi,Yuan Renminbi,212
"Royal Tenenbaums, The",Action,1/24/2003,Frannie Sadlier,Ivan Luther,Eartha Missington,7.7,Ringgit,Shilling,183
Daddy Day Camp,Horror,7/20/2012,Vlad De Ruel,Curry Gawkes,Fairlie Platfoot,1.5,Dinar,Ruble,147
Rocketship X-M,Romance,7/5/2018,Bea Rean,Ash Prester,Urbain Chambers,8.1,Rupiah,Yuan Renminbi,67
Reykjavik Whale Watching Massacre,Comedy,12/18/2003,Rhea Ethridge,Gabrila Balsdone,Emanuel Jocelyn,6.1,Dram,Rupiah,220
Desert Blue,Horror,7/9/2011,Avictor Adshad,Arda McKeaveney,Webb Norres,2.2,Peso,Yuan Renminbi,104
"Old Lady and the Pigeons, The (La vieille dame et les pigeons)",Drama,8/26/2001,Elga Bowmaker,Berenice Widdecombe,Clare Banfield,9.7,Sol,Ruble,62
Step Up 2 the Streets,Comedy,5/18/2008,Leeann Ismay,Fonz Striker,Olympia Presdie,9.0,Lempira,Krona,213
"Great Race, The",Drama,5/15/2007,Fran Sprules,Oralee Pryell,Inna Gerry,3.2,Euro,Euro,208
Two Ninas,Romance,4/19/2015,Melania Speariett,Ofella Rodmell,Tudor Harlick,7.9,Naira,Euro,155
Rock 'n' Roll Nightmare,Action,1/28/2003,Marjie Baylay,Allan Goldie,Shermy Berens,3.1,Lempira,Rupiah,95
"Iceman Tapes: Conversations with a Killer, The",Action,12/23/2015,Violetta Darnody,Tommy Monelli,Broddy Crossby,7.5,Yen,Yuan Renminbi,164
Singham,Action,7/12/2020,Lorain Bonevant,Corey Caldicot,Gage Pires,0.1,Yuan Renminbi,Zloty,173
Yesterday Girl (Abschied von gestern - Anita G.),Comedy,3/15/2009,Tandy Glavis,Katheryn Delleschi,Elvis Pretswell,6.6,Rupiah,Baht,209
Stacy's Knights,Romance,5/11/2022,Waverley Bram,Ravid Friedank,Candie Willshee,4.8,Yuan Renminbi,Hryvnia,152
Monogamy ,Action,8/4/2010,Dita Towner,Leann Bucke,Alf Castanos,7.0,Dollar,Dirham,87
Bandits,Comedy,8/17/2008,Bee Tranter,Norri Kempson,Candis Sweatman,5.8,Yuan Renminbi,Peso,80
"Spirit of the Beehive, The (Espíritu de la colmena, El)",Comedy,3/22/2004,Blancha Vedekhov,Cornie Winters,Dalton Addionisio,6.7,Yuan Renminbi,Yuan Renminbi,65
"Power of Kangwon Province, The (Kangwon-do ui him)",Action,8/5/2020,Hamel Lean,Findley Lenthall,Bil Larrington,8.8,Koruna,Krone,131
Elite Squad (Tropa de Elite),Action,12/26/2019,Luigi Bodell,Cordy Clawsley,Abner Starking,4.4,Rupiah,Tenge,86
Generation X,Action,1/13/2021,Siegfried Lynn,Alicea Brayfield,Lazaro Stovin,3.4,Manat,Euro,147
Scanners,Horror,4/11/2003,Odette Giffard,Damian Lowdes,Ignace Lawtie,9.2,Yuan Renminbi,Rupiah,189
"Mother and the Whore, The (Maman et la putain, La)",Action,2/8/2016,Gillie Pregal,Daryl Sains,Ilysa Hedman,9.9,Ruble,Peso,187
I Am Love (Io sono l'amore),Romance,11/10/2000,Franklyn Shakesbye,Nobie Sneath,Temple O'Corr,6.1,Peso,Peso,60
See You Next Tuesday,Action,3/3/2013,Liuka Curle,Archaimbaud Gosby,Donetta Allred,3.6,Euro,Yuan Renminbi,101
Diary of the Dead,Action,5/2/2019,Laurens Mattingley,Raynell Laffoley-Lane,Francisco Brach,0.8,Dollar,Rupiah,125
"Lodger, The",Romance,4/11/2009,Daniel Croydon,Ilka Peile,Dulcine Sudran,3.5,Yuan Renminbi,Euro,240
Dark City,Comedy,11/10/2009,Missie Aspin,Doria Conklin,Katharina Mudie,9.3,Rupiah,Rupiah,136
